1,aaa,홍길동,t001,삼성TV,2000000,2024-10-16 16:07:28
2,aaa,홍길동,g001,LG냉장고,3000000,2024-10-16 16:07:28
3,aaa,홍길동,h001,하만카돈스피커,500000,2024-10-16 16:07:29
1,aaa,홍길동,t001,삼성TV,2000000,2024-10-17 17:07:22
2,aaa,홍길동,t001,삼성TV,2000000,2024-10-17 17:07:22
3,aaa,홍길동,t001,삼성TV,2000000,2024-10-17 17:07:23
4,aaa,홍길동,t001,삼성TV,2000000,2024-10-17 17:07:23
5,aaa,홍길동,t001,삼성TV,2000000,2024-10-17 17:07:23
6,aaa,홍길동,g001,LG냉장고,3000000,2024-10-17 17:07:23
7,aaa,홍길동,h001,하만카돈스피커,500000,2024-10-17 17:07:24
8,aaa,홍길동,w001,세탁기,1000000,2024-10-17 17:07:24
